NCI:C98983	UMLS:C0265234
NCI:C98993	UMLS:C0265451
NCI:C101039	UMLS:C0265261
NCI:C26458	UMLS:C0333994
NCI:C26757	UMLS:C0013447
NCI:C26842	UMLS:C0030286
NCI:C27020	UMLS:C0236100
NCI:C27571	UMLS:C1333941
NCI:C2994	UMLS:C0013288
NCI:C3027	UMLS:C0014852
NCI:C3374	UMLS:C0037293
NCI:C34553	UMLS:C0013238
NCI:C34562	UMLS:C0013415
NCI:C34568	UMLS:C0013720
NCI:C34588	UMLS:C0014394
NCI:C34741	UMLS:C0022350
NCI:C34956	UMLS:C0037650
NCI:C35190	UMLS:C0154558
NCI:C3932	UMLS:C0264248
NCI:C4707	UMLS:C0406816
NCI:C4741	UMLS:C0474796
NCI:C4873	UMLS:C0678236
NCI:C5183	UMLS:C0015306
NCI:C53296	UMLS:C1707929
NCI:C53972	UMLS:C0878675
NCI:C5564	UMLS:C1333372
NCI:C7486	UMLS:C0264231
NCI:C7584	UMLS:C0013403
NCI:C84390	UMLS:C0013743
NCI:C84678	UMLS:C0013261
NCI:C84683	UMLS:C0013575
NCI:C84684	UMLS:C0013903
NCI:C84686	UMLS:C0014008
NCI:C85237	UMLS:C0043379
NCI:C89334	UMLS:C0023186
NCI:C92568	UMLS:C0014089
NCI:C95609	UMLS:C2987253
NCI:C97082	UMLS:C0399439
NCI:C97111	UMLS:C0266493
NCI:C26809	UMLS:C0022904
NCI:C27019	UMLS:C0236099
NCI:C27067	UMLS:C0271633
NCI:C27090	UMLS:C1285162
NCI:C2981	UMLS:C0011206
NCI:C2989	UMLS:C0012236
NCI:C3190	UMLS:C0023743
NCI:C3452	UMLS:C0043346
NCI:C35699	UMLS:C1333292
NCI:C3964	UMLS:C0268132
NCI:C39855	UMLS:C1511954
NCI:C4799	UMLS:C0522274
NCI:C4924	UMLS:C0740342
NCI:C50532	UMLS:C1707736
NCI:C54271	UMLS:C0233754
NCI:C61244	UMLS:C2348037
NCI:C62505	UMLS:C0015625
NCI:C75012	UMLS:C0010964
NCI:C84521	UMLS:C0432442
NCI:C84522	UMLS:C0432443
NCI:C84666	UMLS:C0265201
NCI:C84668	UMLS:C0950121
NCI:C84670	UMLS:C0007795
NCI:C84676	UMLS:C0265344
NCI:C92197	UMLS:C0012746
NCI:C92203	UMLS:C0236969
NCI:C92561	UMLS:C0011757
NCI:C92637	UMLS:C0011548
NCI:C94328	UMLS:C0236795
NCI:C94329	UMLS:C0020703
NCI:C94330	UMLS:C0026773
NCI:C94331	UMLS:C0683416
NCI:C94379	UMLS:C0011251
NCI:C94810	UMLS:C2986691
NCI:C97080	UMLS:C0399495
NCI:C97081	UMLS:C1265933
NCI:C99753	UMLS:C0012734
NCI:C26793	UMLS:C0019156
NCI:C27148	UMLS:C0403608
NCI:C27579	UMLS:C1334069
NCI:C27642	UMLS:C1333945
NCI:C3144	UMLS:C0022398
NCI:C34357	UMLS:C0001519
NCI:C34656	UMLS:C0018500
NCI:C3675	UMLS:C0178879
NCI:C37261	UMLS:C0079504
NCI:C3940	UMLS:C0265966
NCI:C3990	UMLS:C0272236
NCI:C45256	UMLS:C0155365
NCI:C45746	UMLS:C1708309
NCI:C4681	UMLS:C0392475
NCI:C48259	UMLS:C0020502
NCI:C5751	UMLS:C1333971
NCI:C61260	UMLS:C0026705
NCI:C61261	UMLS:C0086795
NCI:C74988	UMLS:C0079541
NCI:C74995	UMLS:C1834877
NCI:C75019	UMLS:C0175695
NCI:C75460	UMLS:C1864827
NCI:C75475	UMLS:C1840528
NCI:C75476	UMLS:C1856096
NCI:C78346	UMLS:C0917799
NCI:C78349	UMLS:C0241934
NCI:C8301	UMLS:C0948441
